model,year,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,seating_capacity,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,annual_sales_units,customer_rating,warranty_years,range_efficiency,price_per_range_mile,power_to_weight,torque_to_weight,battery_to_weight,vehicle_age,drive_type_FWD,drive_type_RWD,body_type_Hatchback,body_type_SUV,body_type_Sedan,body_type_Truck,body_type_Van,country_of_origin_Germany,country_of_origin_Japan,country_of_origin_South Korea,country_of_origin_Sweden,country_of_origin_US,market_segment_Luxury,market_segment_Mid-range,market_segment_Premium,brand_BMW,brand_BYD,brand_Fisker,brand_Ford,brand_GM/Chevrolet,brand_Honda,brand_Hyundai,brand_Kia,brand_Lucid,brand_Mercedes,brand_NIO,brand_Polestar,brand_Porsche,brand_Rivian,brand_Tesla,brand_Toyota,brand_Volkswagen,brand_Volvo,brand_Xiaomi,variant_Long Range,variant_Performance,variant_Premium,variant_Standard
Atto 3,2024,41904.83,88.3,325.0,60.2,5.33,168.0,435.0,398.0,5,63.7,2686.0,3,1,239018,3.7,3,3.6806342015855043,128.93793846153847,0.16195085629188385,0.14817572598659717,0.03287416232315711,2,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
EQS,2025,94342.22,95.8,324.0,184.3,3.79,192.0,446.0,356.0,5,38.2,1893.0,4,1,56423,3.88,7,3.382045929018789,291.1796913580247,0.23560486001056524,0.18806127839408346,0.05060750132065504,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
ID. Aero,2024,40586.73,45.0,173.0,82.3,6.42,159.0,335.0,274.0,7,32.4,1615.0,4,1,268842,3.31,4,3.8444444444444446,234.60537572254336,0.20743034055727555,0.1696594427244582,0.02786377708978328,2,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
Atto 3,2022,98782.03,77.8,278.0,211.2,3.71,192.0,1000.0,876.0,7,33.3,1500.0,4,0,130723,3.47,4,3.5732647814910026,355.33104316546763,0.6666666666666666,0.584,0.051866666666666665,4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
EV6,2022,40060.04,63.0,235.0,90.5,6.78,153.0,281.0,246.0,7,28.9,1500.0,4,0,51025,3.4,5,3.7301587301587302,170.46825531914894,0.18733333333333332,0.164,0.042,4,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Bolt EUV,2023,73854.22,104.5,365.0,221.3,3.22,200.0,999.0,887.0,5,20.4,2090.0,4,1,27191,3.61,3,3.492822966507177,202.34032876712328,0.4779904306220096,0.4244019138755981,0.05,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Model X,2022,43328.14,65.3,226.0,244.2,7.71,134.0,305.0,255.0,5,63.8,1526.0,3,2,148395,3.64,6,3.460949464012251,191.7174336283186,0.1998689384010485,0.16710353866317168,0.0427916120576671,4,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Model X,2025,100199.56,90.8,321.0,252.4,5.42,171.0,669.0,631.0,7,36.6,1849.0,4,3,197625,3.78,5,3.535242290748899,312.14816199376946,0.3618171984856679,0.34126554894537586,0.04910762574364521,1,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Model Y,2025,135068.35,116.4,393.0,277.5,3.52,193.0,1000.0,870.0,7,19.2,1500.0,5,3,419874,4.32,6,3.3762886597938144,343.685368956743,0.6666666666666666,0.58,0.0776,1,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Silverado EV,2026,64854.51,76.0,264.0,124.2,5.66,158.0,863.0,753.0,7,66.6,1781.0,4,2,16372,3.34,5,3.473684210526316,245.66102272727272,0.4845592363840539,0.4227961819202695,0.04267265581134194,0,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
i4,2022,102335.06,106.5,365.0,241.1,2.73,200.0,873.0,817.0,7,31.3,1526.0,5,1,57345,3.89,5,3.427230046948357,280.3700273972603,0.572083879423329,0.5353866317169069,0.06979030144167758,4,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Kona Electric,2026,78808.06,83.8,310.0,141.6,5.71,163.0,989.0,868.0,7,78.4,2368.0,4,2,79142,3.33,3,3.6992840095465396,254.21954838709678,0.41765202702702703,0.36655405405405406,0.03538851351351351,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
EQC,2026,89766.7,44.8,150.0,131.6,7.04,131.0,402.0,345.0,5,33.2,1697.0,4,1,44745,3.43,7,3.348214285714286,598.4446666666666,0.23688862698880378,0.20329994107248084,0.026399528579846787,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Explorer EV,2024,54161.53,80.1,289.0,75.9,7.58,137.0,517.0,412.0,7,22.0,1624.0,4,0,26655,3.51,4,3.607990012484395,187.4101384083045,0.3183497536945813,0.2536945812807882,0.04932266009852217,2,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sportage EV,2022,38543.18,45.8,159.0,126.3,5.27,175.0,312.0,260.0,5,41.4,1872.0,5,0,117943,3.08,3,3.4716157205240177,242.40993710691825,0.16666666666666666,0.1388888888888889,0.024465811965811966,4,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EQE,2023,91688.58,90.5,311.0,240.9,4.23,192.0,427.0,373.0,5,78.1,1713.0,5,2,45385,4.06,5,3.43646408839779,294.81858520900323,0.24927028604786924,0.2177466433158202,0.052831290134267364,3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Atto 3,2023,72252.78,40.8,150.0,132.5,6.07,162.0,772.0,689.0,5,38.8,1553.0,4,0,245833,3.12,3,3.6764705882352944,481.6852,0.4971023824855119,0.4436574372182872,0.02627173213135866,3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Model Y,2025,28188.64,40.3,150.0,268.7,6.76,141.0,157.0,200.0,7,48.1,1677.0,3,2,412935,3.53,4,3.7220843672456576,187.92426666666665,0.0936195587358378,0.11926058437686345,0.024031007751937984,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Yuan Plus,2025,32633.03,80.0,279.0,131.7,6.72,144.0,320.0,282.0,5,53.4,2335.0,5,1,106393,3.6,5,3.4875,116.96426523297491,0.13704496788008566,0.12077087794432548,0.034261241970021415,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model S,2025,61791.69,82.0,283.0,322.8,3.07,200.0,416.0,357.0,5,16.6,1663.0,5,2,214239,3.64,6,3.451219512195122,218.34519434628976,0.25015033072760073,0.21467227901383043,0.04930847865303668,1,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Ioniq 5,2025,97448.38,102.0,335.0,186.2,4.32,187.0,1000.0,874.0,5,15.7,1500.0,3,1,81695,3.65,3,3.284313725490196,290.8906865671642,0.6666666666666666,0.5826666666666667,0.068,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ET6,2025,75082.66,69.0,236.0,113.7,5.3,173.0,685.0,654.0,5,15.2,1800.0,5,0,6090,3.63,4,3.420289855072464,318.1468644067797,0.38055555555555554,0.36333333333333334,0.03833333333333333,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Model Y,2025,56042.12,66.9,222.0,343.9,6.66,139.0,381.0,308.0,5,24.0,1801.0,4,3,439817,3.53,4,3.318385650224215,252.441981981982,0.21154913936701833,0.17101610216546362,0.03714602998334259,1,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Model Y,2025,102064.68,49.3,183.0,218.6,5.76,163.0,752.0,628.0,5,46.7,1950.0,5,2,469259,3.73,4,3.7119675456389456,557.7304918032786,0.38564102564102565,0.32205128205128203,0.02528205128205128,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ID. Aero,2024,92355.03,70.8,243.0,217.8,3.65,193.0,1000.0,926.0,5,54.0,2436.0,4,1,216375,3.43,5,3.4322033898305087,380.0618518518518,0.41050903119868637,0.38013136288998356,0.029064039408866992,2,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
R3,2025,105185.41,109.2,352.0,76.3,4.17,187.0,1000.0,900.0,5,25.5,1527.0,4,1,20140,3.46,5,3.2234432234432235,298.8221875,0.6548788474132285,0.5893909626719057,0.07151277013752456,1,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Max,2023,20788.8,46.9,161.0,93.6,6.51,150.0,150.0,200.0,5,79.4,1923.0,4,1,208014,3.15,4,3.4328358208955225,129.1229813664596,0.078003120124805,0.10400416016640665,0.02438897555902236,3,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ioniq 6,2024,97949.17,88.6,324.0,170.9,2.96,200.0,1000.0,850.0,5,19.7,1500.0,5,1,105426,3.83,4,3.6568848758465013,302.31225308641973,0.6666666666666666,0.5666666666666667,0.05906666666666666,2,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cybertruck,2024,112719.54,67.5,240.0,242.8,5.41,170.0,810.0,732.0,5,56.2,2564.0,5,2,138409,3.94,5,3.5555555555555554,469.66474999999997,0.3159126365054602,0.28549141965678626,0.026326053042121683,2,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Model X,2025,155604.37,46.7,150.0,305.4,5.06,177.0,1000.0,909.0,7,78.1,1625.0,4,2,240825,3.17,6,3.2119914346895073,1037.3624666666667,0.6153846153846154,0.5593846153846154,0.02873846153846154,1,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Macan Electric,2023,107490.34,61.7,224.0,251.6,6.15,161.0,337.0,320.0,5,39.7,1666.0,4,2,2249,3.5,8,3.6304700162074552,479.86758928571425,0.20228091236494597,0.19207683073229292,0.03703481392557023,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
Ocean,2023,100837.22,71.6,259.0,138.2,5.42,163.0,841.0,735.0,5,36.7,1500.0,5,0,27700,3.3,5,3.61731843575419,389.33289575289575,0.5606666666666666,0.49,0.04773333333333333,3,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Cybertruck,2024,112537.97,73.4,256.0,247.7,7.93,125.0,851.0,715.0,5,69.8,2742.0,4,3,200169,3.59,5,3.487738419618528,439.6014453125,0.31035740335521517,0.2607585703865791,0.02676878191101386,2,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
bZ4X,2024,65164.24,66.0,218.0,67.5,6.6,152.0,771.0,727.0,5,41.6,2093.0,5,0,21633,3.39,5,3.303030303030303,298.91853211009175,0.3683707596751075,0.347348303870043,0.03153368370759675,2,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
i4,2025,134002.07,78.3,245.0,120.2,7.71,132.0,1000.0,918.0,7,16.0,1795.0,5,1,54751,3.42,8,3.128991060025543,546.947224489796,0.5571030640668524,0.5114206128133705,0.04362116991643454,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
EQE,2025,125283.58,75.6,264.0,123.7,7.57,138.0,747.0,634.0,7,74.4,2720.0,4,1,50741,4.19,7,3.4920634920634925,474.55901515151515,0.2746323529411765,0.23308823529411765,0.02779411764705882,1,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
ID.3,2022,53614.66,63.7,213.0,138.2,5.95,160.0,530.0,526.0,5,44.8,2264.0,4,0,208794,3.39,4,3.3437990580847723,251.71201877934274,0.23409893992932862,0.23233215547703182,0.028136042402826855,4,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Ioniq,2021,54289.29,101.8,323.0,214.9,3.67,196.0,603.0,568.0,7,17.8,1707.0,4,1,110889,3.69,4,3.1728880157170924,168.0782972136223,0.3532513181019332,0.3327475102519039,0.05963678968951377,5,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Ioniq,2023,69817.04,113.2,415.0,171.3,3.01,198.0,899.0,830.0,5,62.0,1643.0,5,1,127527,3.55,4,3.666077738515901,168.2338313253012,0.5471698113207547,0.505173463177115,0.06889835666463785,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
i4,2024,47596.94,81.1,287.0,123.0,7.53,135.0,169.0,200.0,7,15.4,1577.0,5,1,22877,3.56,7,3.5388409371146734,165.84299651567946,0.10716550412175016,0.12682308180088775,0.05142675967025998,2,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Model Y,2024,50416.8,92.4,336.0,349.4,5.31,170.0,355.0,348.0,5,24.1,1587.0,4,2,444988,3.8,5,3.6363636363636362,150.05,0.2236925015752993,0.21928166351606806,0.058223062381852556,2,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Model 3,2025,127858.88,71.8,285.0,260.5,7.39,142.0,928.0,848.0,5,61.8,2152.0,5,2,125874,3.89,4,3.969359331476323,448.62764912280704,0.4312267657992565,0.3940520446096654,0.03336431226765799,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Dolphin,2026,27881.47,60.3,202.0,109.7,5.27,169.0,272.0,248.0,5,68.9,1867.0,4,1,131662,3.35,5,3.349917081260365,138.0270792079208,0.14568826995179432,0.1328334226031066,0.03229780396357793,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bolt EUV,2024,98117.57,90.3,335.0,227.3,3.97,195.0,1000.0,866.0,5,17.1,1500.0,5,0,23127,3.63,4,3.709856035437431,292.88826865671643,0.6666666666666666,0.5773333333333334,0.0602,2,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Cybertruck,2025,114028.98,65.3,249.0,327.3,7.5,137.0,815.0,721.0,7,60.4,2681.0,5,2,169238,3.54,4,3.8131699846860645,457.9477108433735,0.3039910481163745,0.2689295039164491,0.024356583364416262,1,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
i7,2021,76431.36,47.0,150.0,90.1,6.06,160.0,524.0,510.0,7,34.1,1776.0,4,2,30267,3.08,5,3.1914893617021276,509.5424,0.29504504504504503,0.28716216216216217,0.026463963963963964,5,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ocean,2025,47756.59,60.7,225.0,136.4,6.02,158.0,298.0,265.0,7,16.1,1812.0,4,1,6983,3.23,3,3.706754530477759,212.25151111111109,0.16445916114790288,0.14624724061810154,0.03349889624724062,1,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model S,2023,122960.47,98.5,350.0,323.0,4.9,178.0,897.0,749.0,5,55.8,2239.0,4,2,114585,4.09,4,3.553299492385787,351.3156285714286,0.4006252791424743,0.3345243412237606,0.04399285395265744,3,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
i5,2024,91502.74,75.2,250.0,75.7,5.77,161.0,650.0,613.0,7,32.6,1500.0,5,1,64217,3.55,6,3.324468085106383,366.01096,0.43333333333333335,0.4086666666666667,0.050133333333333335,2,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ID. Buzz,2026,77633.04,74.0,273.0,79.5,5.33,165.0,818.0,753.0,5,55.8,2544.0,5,2,203039,3.53,5,3.689189189189189,284.37010989010986,0.32154088050314467,0.2959905660377358,0.02908805031446541,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EQG,2022,74524.3,84.1,298.0,141.9,4.89,180.0,277.0,271.0,5,23.3,1690.0,5,2,75343,3.85,7,3.5434007134363856,250.08154362416107,0.16390532544378697,0.1603550295857988,0.04976331360946745,4,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Model X,2026,27570.57,44.6,153.0,215.0,7.41,137.0,161.0,200.0,5,36.9,1682.0,5,2,203167,3.2,5,3.430493273542601,180.19980392156862,0.09571938168846611,0.11890606420927467,0.026516052318668253,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Silverado EV,2023,42948.13,93.8,328.0,156.4,2.96,200.0,422.0,385.0,5,31.4,1903.0,4,2,14040,3.76,4,3.49680170575693,130.93942073170732,0.22175512348922755,0.2023121387283237,0.049290593799264315,3,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
GLE EV,2022,100017.14,108.6,382.0,123.5,5.74,157.0,539.0,494.0,5,33.8,1500.0,5,2,39100,3.99,8,3.5174953959484347,261.82497382198954,0.35933333333333334,0.3293333333333333,0.07239999999999999,4,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
bZ4X,2026,108712.63,111.4,366.0,193.2,3.3,195.0,1000.0,924.0,5,37.5,1549.0,4,0,12763,3.93,4,3.2854578096947935,297.029043715847,0.6455777921239509,0.5965138799225307,0.07191736604260814,0,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
i7,2026,96474.96,76.8,250.0,236.0,3.59,200.0,757.0,661.0,7,70.6,1639.0,5,1,54809,3.45,7,3.2552083333333335,385.89984000000004,0.46186699206833437,0.40329469188529593,0.04685784014643075,0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
i30,2025,33127.96,41.6,164.0,118.9,7.91,129.0,245.0,205.0,5,62.9,2024.0,5,2,138439,3.06,5,3.942307692307692,201.99975609756098,0.12104743083003952,0.10128458498023715,0.020553359683794466,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Niro EV,2025,52664.7,45.0,151.0,107.3,7.64,133.0,568.0,443.0,5,49.3,1711.0,5,2,62015,3.3,3,3.3555555555555556,348.77284768211916,0.33196960841613093,0.25891291642314435,0.026300409117475162,1,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
EQC,2022,117361.83,91.3,335.0,136.0,5.26,158.0,673.0,601.0,7,68.4,1923.0,4,1,75929,3.88,5,3.669222343921139,350.33382089552236,0.3499739989599584,0.312532501300052,0.04747789911596464,4,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Picanto EV,2024,91917.06,68.9,237.0,140.8,6.23,166.0,1000.0,904.0,5,79.4,1684.0,4,1,124978,3.57,5,3.4397677793904204,387.8356962025316,0.5938242280285035,0.5368171021377672,0.0409144893111639,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Model 3,2023,128698.36,60.8,240.0,203.0,6.56,154.0,923.0,819.0,5,73.7,2335.0,5,2,132614,3.6,5,3.947368421052632,536.2431666666666,0.39528907922912204,0.3507494646680942,0.026038543897216274,3,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
R2,2025,100224.89,43.2,157.0,106.2,6.8,137.0,1000.0,909.0,5,33.5,1592.0,4,1,10726,3.0,6,3.634259259259259,638.3750955414013,0.628140703517588,0.5709798994974874,0.0271356783919598,1,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
i4,2025,66795.11,65.0,246.0,73.4,5.68,171.0,358.0,333.0,7,33.0,1861.0,5,1,50876,3.34,6,3.7846153846153845,271.52483739837396,0.19236969371305748,0.17893605588393338,0.03492745835572273,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
i3,2025,102396.37,96.6,340.0,102.0,4.37,184.0,852.0,737.0,5,18.7,1822.0,5,2,35285,3.65,5,3.5196687370600417,301.16579411764707,0.4676180021953897,0.4045005488474204,0.05301866081229418,1,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Seagull,2025,53276.57,102.1,367.0,72.6,4.72,177.0,518.0,453.0,5,36.5,1807.0,4,1,242908,4.26,3,3.594515181194907,145.16776566757494,0.2866629773104593,0.2506917542888766,0.056502490315439954,1,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
i5,2025,102104.07,55.1,174.0,128.9,5.42,165.0,817.0,704.0,5,58.4,2165.0,3,2,30235,3.27,6,3.1578947368421053,586.8050000000001,0.3773672055427252,0.32517321016166284,0.025450346420323327,1,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ID.3,2025,62840.41,71.4,268.0,73.9,6.29,159.0,621.0,524.0,7,18.6,1960.0,5,0,242781,3.79,4,3.7535014005602236,234.47914179104478,0.3168367346938776,0.2673469387755102,0.03642857142857143,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
i5,2024,131247.26,113.3,405.0,155.8,2.74,200.0,1000.0,891.0,5,65.4,2302.0,4,2,65041,3.91,8,3.5745807590467784,324.06730864197533,0.43440486533449174,0.38705473501303217,0.049218071242397916,2,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Model S,2025,84149.31,75.3,252.0,335.6,7.31,143.0,552.0,524.0,5,36.5,1606.0,4,3,224851,3.64,6,3.346613545816733,333.92583333333334,0.3437110834371108,0.32627646326276466,0.04688667496886675,1,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
iX,2025,71216.91,62.4,239.0,72.7,5.38,171.0,396.0,355.0,5,74.4,1623.0,4,1,70121,3.47,7,3.8301282051282053,297.9787029288703,0.24399260628465805,0.21873074553296365,0.03844731977818854,1,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
e,2022,60662.04,67.2,242.0,144.9,6.09,154.0,943.0,887.0,5,36.4,1943.0,4,2,10748,3.54,3,3.601190476190476,250.66958677685952,0.485331960885229,0.45651055069480184,0.03458569222851261,4,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Model X,2024,46217.92,55.9,205.0,259.6,6.69,151.0,293.0,270.0,7,68.2,2198.0,4,2,108494,3.65,5,3.6672629695885512,225.4532682926829,0.13330300272975432,0.12283894449499545,0.02543221110100091,2,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
